compound_name,label,MW,LogP,HBD,TPSA,RingCount,RotBonds
cortisol,1,362.466,1.782,3.0,94.83,4.0,2.0
cortisol,1,362.466,1.782,3.0,94.83,4.0,2.0
schembl4036207,1,407.909,3.781,2.0,70.38,5.0,3.0
abacavir,1,286.339,1.092,3.0,101.88,4.0,4.0
abacavir,1,286.339,1.092,3.0,101.88,4.0,4.0
fluconazole,1,306.276,0.736,1.0,81.65,3.0,5.0
quinidine,1,324.424,3.173,1.0,45.59,5.0,4.0
glycerol,1,92.094,-1.668,3.0,60.69,0.0,2.0
valproate,1,144.214,2.287,1.0,37.3,0.0,5.0
morphine,1,285.343,1.198,2.0,52.93,5.0,0.0
quinidine (quinine),1,324.424,3.173,1.0,45.59,5.0,4.0
5-methyl-5-ethyl barbituric acid (nsc 30403),1,170.168,-0.231,2.0,75.27,1.0,1.0
l-838417,1,399.405,3.075,0.0,83.02,4.0,4.0
trazodone,1,371.872,2.362,0.0,45.78,4.0,5.0
ibuprofen ,1,206.285,3.073,1.0,37.3,1.0,4.0
ethanol,1,46.069,-0.001,1.0,20.23,0.0,0.0
tz-3,1,387.719,5.863,0.0,27.05,3.0,6.0
tz-3,1,197.188,1.145,2.0,36.42,2.0,1.0
phenelzine,1,136.198,0.692,2.0,38.05,1.0,3.0
indole-based mchr1 antagonist(7a),1,454.574,4.892,1.0,59.39,5.0,9.0
liv-21,1,326.4,2.937,1.0,67.35,3.0,5.0
thioperamide,1,292.452,2.796,2.0,43.95,3.0,2.0
gabapentin,1,171.24,1.37,2.0,63.32,1.0,3.0
chembl3527030,1,206.245,0.392,2.0,72.19,1.0,4.0
felbamate,1,238.243,0.961,2.0,104.64,1.0,5.0
(r)-(-)-ibuprofen,1,206.285,3.073,1.0,37.3,1.0,4.0
y19,1,332.313,-3.806,7.0,180.58,1.0,7.0
carisoprodol,1,232.28,1.244,2.0,90.65,0.0,6.0
prednisolone,1,360.45,1.558,3.0,94.83,4.0,2.0
prednisolone,1,360.45,1.558,3.0,94.83,4.0,2.0
"1,3-butadiene (divinyl)",1,54.092,1.358,0.0,0.0,0.0,1.0
pac-1,1,392.503,2.389,2.0,68.17,3.0,8.0
2-methylpropan-1-ol,1,74.123,0.635,1.0,20.23,0.0,1.0
dl-alanine,1,89.094,-0.582,2.0,63.32,0.0,1.0
201038-74-6,1,352.5,2.667,1.0,60.85,3.0,5.0
2-oxo-4-[3-(trifluoromethoxy)anilino]-6-methyl-3-cyclohexene-1-carboxylic acid methyl ester,1,343.301,3.279,1.0,64.63,2.0,4.0
"methyl (1s,6r)-6-methyl-2-oxo-4-[3-(trifluoromethoxy)anilino]cyclohex-3-ene-1-carboxylate",1,343.301,3.279,1.0,64.63,2.0,4.0
pralidoxime,1,137.162,0.319,1.0,36.47,1.0,1.0
1-(8-fluorooctyl)-2-nitroimidazole (fon),1,243.282,3.101,0.0,60.96,1.0,9.0
propan-1-ol,1,60.096,0.389,1.0,20.23,0.0,1.0
pefloxacin,1,333.363,1.611,1.0,65.78,3.0,3.0
vorozole,1,324.775,2.851,0.0,61.42,4.0,3.0
vorozole,1,324.775,2.851,0.0,61.42,4.0,3.0
epinastine,1,249.317,2.467,1.0,41.62,4.0,0.0
7439-90-9,1,83.8,0.0,0.0,0.0,0.0,0.0
dexamethasone,1,392.467,1.896,3.0,94.83,4.0,2.0
meprobamate,1,218.253,0.983,2.0,104.64,0.0,6.0
propan-2-one (acetone),1,58.08,0.595,0.0,17.07,0.0,0.0
"minokine, mw01-2-069srm",1,395.47,3.322,0.0,70.93,5.0,4.0
acebutolol,1,336.432,2.365,3.0,87.66,1.0,10.0
145741-95-3,1,374.506,2.682,2.0,67.43,3.0,6.0
daidzein ok,1,254.241,2.871,2.0,70.67,3.0,1.0
urea,1,60.056,-0.976,2.0,69.11,0.0,0.0
sr-4688,1,152.218,2.35,0.0,17.07,1.0,2.0
u 88703,1,220.32,1.311,2.0,40.19,2.0,3.0
barbital,1,184.195,0.159,2.0,75.27,1.0,2.0
fluoroethylflumazenil f-18,1,335.31,2.113,0.0,64.43,3.0,4.0
"1,2-dichloroethane",1,98.96,1.464,0.0,0.0,0.0,1.0
,1,301.758,3.736,1.0,65.25,3.0,1.0
mchr antagonist 8,1,410.901,4.458,1.0,54.71,5.0,4.0
methyl acetate,1,74.079,0.179,0.0,26.3,0.0,0.0
chembl1950330,1,391.559,4.468,0.0,28.48,5.0,5.0
,1,290.451,3.439,1.0,24.5,2.0,8.0
"cis-1,2-dichloroethylene",1,96.944,1.935,0.0,0.0,0.0,0.0
phenobarbital,1,232.239,0.7,2.0,75.27,2.0,2.0
bisphenol a,1,228.291,3.424,2.0,40.46,2.0,2.0
"9h-xanthene-9-carboxamide, n-[2-(1-methylethyl)-2h-tetrazol-5-yl]-",1,335.367,3.13,1.0,81.93,4.0,3.0
y17,1,311.385,1.796,1.0,54.34,4.0,3.0
chebi: 337303,1,368.462,4.254,2.0,83.85,3.0,9.0
,1,428.58,4.714,2.0,61.6,4.0,6.0
vinblastine,1,810.989,3.991,3.0,154.1,9.0,7.0
phenytoin,1,252.273,1.77,2.0,58.2,3.0,2.0
thiopental (thiopentone),1,242.344,1.35,2.0,58.2,1.0,4.0
antipyrine ok,1,188.23,1.484,0.0,26.93,2.0,1.0
2-propanol (isopropanol),1,60.096,0.387,1.0,20.23,0.0,0.0
2-butanone,1,72.107,0.985,0.0,17.07,0.0,1.0
pindolol,1,248.326,1.906,3.0,57.28,2.0,6.0
carbamazepine,1,236.274,3.387,1.0,46.33,3.0,0.0
151-83-7,1,262.309,1.307,1.0,66.48,1.0,3.0
progesterone,1,314.469,4.724,0.0,34.14,4.0,1.0
-,1,321.283,2.069,0.0,64.43,3.0,2.0
kcl-440,1,294.354,2.962,2.0,56.33,3.0,3.0
prucalopride,1,367.877,2.088,2.0,76.82,3.0,6.0
"rofecoxib, vioxx",1,314.362,2.558,0.0,60.44,3.0,3.0
iodoantipyrine,1,314.126,2.089,0.0,26.93,2.0,1.0
schembl7481790,1,302.341,2.744,1.0,81.99,4.0,2.0
"2,3,5,6-tetramethylpyrazine",1,136.198,1.71,0.0,25.78,1.0,0.0
vinyltrichloride,1,133.405,2.029,0.0,0.0,0.0,1.0
58-08-2,1,194.194,-1.029,0.0,61.82,2.0,0.0
sb 656104a,1,488.053,4.908,1.0,65.64,5.0,7.0
59468-90-5,1,341.773,3.508,1.0,50.41,4.0,2.0
84379-13-5,1,418.291,3.881,0.0,64.43,4.0,1.0
bretazenil,1,418.291,3.881,0.0,64.43,4.0,1.0
bretazenil,1,418.291,3.881,0.0,64.43,4.0,1.0
17-(dimethylaminoethylamino)-17-demethoxygeldamycin,1,616.756,1.913,4.0,169.52,2.0,7.0
17-(dimethylaminoethylamino)-17-demethoxygeldamycin,1,616.756,1.913,4.0,169.52,2.0,7.0
s121,1,327.452,1.861,1.0,46.92,4.0,3.0
s118,1,338.473,2.277,1.0,60.85,3.0,5.0
topiramate,1,339.366,-0.395,1.0,115.54,3.0,3.0
1-hydroxymidazolam,1,343.789,3.247,2.0,47.86,4.0,1.0
primidone,1,218.256,0.538,2.0,58.2,2.0,2.0
lovastatin,1,404.547,4.196,1.0,72.83,3.0,6.0
vinblastine,1,810.989,3.991,3.0,154.1,9.0,7.0
tetrahydropalmatine,1,355.434,3.377,0.0,40.16,4.0,4.0
(+)-tetrahydropalmatine,1,355.434,3.377,0.0,40.16,4.0,4.0
propene,1,42.081,1.192,0.0,0.0,0.0,0.0
5-allyl-1-methyl-5-(1-methylpentyl)barbituric acid,1,266.341,2.083,1.0,66.48,1.0,6.0
l-hyoscyamine,1,289.375,1.931,1.0,49.77,3.0,4.0
atropine,1,289.375,1.931,1.0,49.77,3.0,4.0
pf-2545920,1,392.462,5.276,0.0,52.83,5.0,5.0
"1,3,7-trimethylxanthine, tms",1,196.21,-0.821,0.0,56.22,2.0,0.0
ethenzamide,1,165.192,1.184,1.0,52.32,1.0,3.0
56924-65-3,1,206.22,1.624,0.0,26.93,2.0,1.0
4-fluoroantipyrine,1,206.22,1.624,0.0,26.93,2.0,1.0
bromocytisine,1,269.142,1.317,1.0,34.03,3.0,0.0
3-bromocytisine,1,269.142,1.276,1.0,34.03,3.0,0.0
3-bromocytisine,1,269.142,1.276,1.0,34.03,3.0,0.0
compound-4h,1,455.002,5.29,2.0,68.18,3.0,10.0
,1,331.419,3.908,3.0,67.15,3.0,5.0
compound-10,1,458.606,4.121,1.0,74.31,5.0,5.0
chembl534947,1,427.552,5.231,1.0,54.69,5.0,7.0
thalidomide,1,258.233,0.088,1.0,83.55,3.0,1.0
s122,1,269.261,-1.018,3.0,128.95,2.0,3.0
levetiracetam,1,170.212,-0.127,1.0,63.4,1.0,3.0
sb-656104-a,1,488.053,4.908,1.0,65.64,5.0,7.0
ici 17148,1,156.214,0.356,2.0,77.29,1.0,1.0
"b-038, ici17148",1,156.214,0.356,2.0,77.29,1.0,1.0
zaltidine,1,222.277,0.747,3.0,105.97,2.0,2.0
water,1,18.015,-0.825,0.0,31.5,0.0,0.0
sesamol,1,138.122,1.121,1.0,38.69,2.0,0.0
pentylenetetrazole (metrazole),1,138.174,0.399,0.0,43.6,2.0,0.0
,1,454.618,5.248,2.0,61.6,5.0,5.0
zinc13282290,1,341.773,3.815,1.0,50.41,4.0,1.0
compound-5d,1,381.907,4.389,1.0,48.99,4.0,5.0
1-butanol,1,74.123,0.779,1.0,20.23,0.0,2.0
"1-chloro-2,2-difluoroethylene",1,98.479,1.963,0.0,0.0,0.0,0.0
chembl218017,1,325.412,3.542,1.0,54.46,3.0,5.0
bbcpd22 (ranitidine analog) skb34 (propanol33npiperidinylmethylp henoxy),1,249.354,2.434,1.0,32.7,2.0,6.0
sns-032,1,380.539,3.659,2.0,80.05,3.0,5.0
414910-27-3,1,616.622,6.654,0.0,47.1,4.0,4.0
simvastatin,1,418.574,4.586,1.0,72.83,3.0,6.0
2-pentanone,1,86.134,1.375,0.0,17.07,0.0,2.0
bpsp,1,516.455,5.102,0.0,43.86,4.0,8.0
chembl136942,1,423.532,3.949,0.0,43.86,4.0,7.0
atevirdine,1,379.464,2.966,2.0,73.49,4.0,5.0
fluoromisonidazole,1,189.146,0.122,1.0,81.19,1.0,4.0
"misonidazole,fluoro",1,219.172,0.096,1.0,90.42,1.0,6.0
alniditan dihydrochloride,1,302.422,1.299,3.0,57.68,3.0,6.0
risperidone,1,410.493,3.59,0.0,64.16,5.0,4.0
phenyl-n-tert-butylnitrone,1,177.247,2.414,0.0,26.07,1.0,1.0
alprazolam,1,308.772,3.58,0.0,43.07,4.0,1.0
diethylether (ether),1,74.123,1.043,0.0,9.23,0.0,2.0
methane,1,16.043,0.636,0.0,0.0,0.0,0.0
198968-25-1,1,264.328,4.071,1.0,52.05,3.0,4.0
dm5,1,497.5,1.02,5.0,176.61,5.0,3.0
leucine,1,131.175,0.444,2.0,63.32,0.0,3.0
testosterone,1,288.431,3.879,1.0,37.3,4.0,0.0
dronabinol,1,314.469,5.736,1.0,29.46,3.0,4.0
ethyl acetate,1,88.106,0.569,0.0,26.3,0.0,1.0
dl-morphan,1,257.377,3.08,1.0,23.47,4.0,0.0
levorphanol,1,257.377,3.08,1.0,23.47,4.0,0.0
dm5,1,293.75,3.034,1.0,55.4,2.0,3.0
aminophenazone,1,231.299,1.55,0.0,30.17,2.0,2.0
129618-40-2,1,266.304,2.651,1.0,58.12,4.0,1.0
,1,293.286,2.164,1.0,110.85,3.0,4.0
schembl6949318,1,310.357,0.712,1.0,82.15,3.0,3.0
"1,3-diphenylguanidine",1,211.268,2.745,2.0,50.41,2.0,2.0
citenamide,1,235.286,2.788,1.0,43.09,3.0,1.0
dipyridamole,1,504.636,-0.018,4.0,145.44,4.0,12.0
oxirane,1,44.053,0.017,0.0,12.53,1.0,0.0
compound d,1,505.588,6.808,2.0,54.77,5.0,6.0
"5-ethyl-5-heptyl-1,3-
diazinane-2,4,6-trione",1,254.33,2.109,2.0,75.27,1.0,7.0
oxprenolol,1,265.353,1.989,2.0,50.72,1.0,9.0
methanol,1,32.042,-0.392,1.0,20.23,0.0,0.0
dextromethorphan,1,271.404,3.383,0.0,12.47,4.0,1.0
nsc382927,1,535.603,6.468,1.0,78.84,7.0,7.0
nitrogen,1,28.014,0.03,0.0,47.58,0.0,0.0
argon,1,39.948,0.0,0.0,0.0,0.0,0.0
nitrous oxide,1,44.013,-0.158,0.0,53.47,0.0,0.0
1-butyl-3-phenylthiourea,1,208.33,2.773,2.0,24.06,1.0,4.0
"nitrous oxide, 99%",1,45.021,0.229,1.0,48.38,0.0,0.0
nitrogen,1,32.046,-1.181,2.0,52.04,0.0,0.0
7440-63-3,1,131.29,0.0,0.0,0.0,0.0,0.0
3-methyl-1-butanol (isopentanol),1,88.15,1.025,1.0,20.23,0.0,2.0
2-methyl-1-butanol,1,88.15,1.025,1.0,20.23,0.0,2.0
hepp (beta-ethyl-beta-hydroxybenzenepropanamide) (3-hydroxy-3-phenylpentamide),1,193.246,1.16,2.0,63.32,1.0,4.0
amobarbital,1,226.276,1.185,2.0,75.27,1.0,4.0
"trans-1,2-dichloroethylene",1,96.944,1.935,0.0,0.0,0.0,0.0
"5-ethyl-5-isopentyl-5,6-dihydropyrimidine-2,4(1h,3h)-dione",1,212.293,1.658,2.0,58.2,1.0,4.0
schembl6946348,1,328.372,2.085,0.0,81.27,3.0,3.0
phenyl-n-tert-butylnitrone (cid 10313352),1,177.247,2.414,0.0,26.07,1.0,1.0
phenyl-n-tert-butylnitrone,1,177.247,2.414,0.0,26.07,1.0,1.0
procaine,1,236.315,1.767,1.0,55.56,1.0,6.0
4-boronophenylalanine,1,209.01,-1.679,4.0,103.78,1.0,4.0
compound 32,1,385.471,3.492,0.0,55.43,5.0,3.0
paraxanthine,1,182.183,-1.162,1.0,65.01,2.0,0.0
paraxanthine,1,182.183,-1.164,1.0,65.01,2.0,0.0
amylene-hydrate (tertiary-amyl alcohol),1,88.15,1.167,1.0,20.23,0.0,1.0
195055-03-9,1,380.54,4.409,0.0,49.56,3.0,7.0
vinblastine,1,810.989,3.991,3.0,154.1,9.0,7.0
p-bromospiperone,1,474.374,3.98,1.0,52.65,4.0,6.0
irie-16a,1,468.646,3.979,2.0,103.17,4.0,8.0
"1,3a,8-trimethyl-1,2,3,3a,8,8a-hexahydropyrrolo[2,3-b]indol-5-yl methylcarbamate",1,275.352,1.774,1.0,44.81,3.0,1.0
terbinafine,1,291.438,4.877,0.0,3.24,2.0,4.0
cube-8,1,458.551,5.275,2.0,102.29,2.0,15.0
chembl1243269,1,275.352,1.774,1.0,44.81,3.0,1.0
nimodipine,1,418.446,2.971,1.0,117.0,2.0,8.0
"1,1,1-trichloro-2-fluoroethane",1,151.395,2.326,0.0,0.0,0.0,0.0
"5-propyl-5-ethyl barbituric acid (5-ethyl-5-propyl-1,3-diazinane-2,4,6-trione)",1,198.222,0.549,2.0,75.27,1.0,3.0
5-ethyl-5-pentylbarbituric acid,1,226.276,1.329,2.0,75.27,1.0,5.0
1-(4-amino-5-chloro-2-methoxyphenyl)-4-(diethylamino)butan-1-one,1,298.814,3.236,1.0,55.56,1.0,8.0
mppf,1,434.515,3.698,0.0,48.91,4.0,7.0
7461-08-7,1,296.322,3.099,1.0,63.6,3.0,3.0
56-29-1,1,236.271,1.201,1.0,66.48,2.0,1.0
cyclopropane (trimethylene),1,42.081,1.17,0.0,0.0,1.0,0.0
divinylether,1,70.091,1.29,0.0,9.23,0.0,2.0
pentobarbital,1,226.276,1.185,2.0,75.27,1.0,4.0
1622-62-4,1,313.288,2.548,0.0,75.81,3.0,2.0
paraxanthine,1,180.167,-1.04,1.0,72.68,2.0,0.0
eserine,1,275.352,1.774,1.0,44.81,3.0,1.0
"2,5-dihydroxybenzoic acid",1,154.121,0.796,3.0,77.76,1.0,1.0
terbinafine,1,291.438,4.877,0.0,3.24,2.0,4.0
quinidine (quinine),1,323.436,4.515,1.0,42.35,5.0,4.0
fluoromar,1,126.077,1.709,0.0,9.23,0.0,2.0
schembl15974503,1,222.288,1.675,1.0,49.41,2.0,1.0
naproxen,1,230.263,3.037,1.0,46.53,2.0,3.0
2pnc,1,230.098,2.364,2.0,36.42,2.0,1.0
zolantidine; 41,1,381.545,5.163,1.0,37.39,4.0,8.0
tert-butylalcohol,1,74.123,0.777,1.0,20.23,0.0,0.0
dehydroevodiamine,1,301.349,1.636,0.0,35.91,5.0,0.0
pfizer compound 20,1,390.531,4.081,2.0,51.11,4.0,6.0
oxycodone,1,315.369,1.048,1.0,59.0,5.0,1.0
dehydroevodiamine,1,304.373,2.48,1.0,37.91,5.0,0.0
chembl246597,1,445.563,4.232,0.0,54.9,5.0,6.0
184886-95-1,1,230.098,2.363,2.0,36.42,2.0,2.0
"(2r)-n-(2,6-dichlorophenyl)-2,5-dihydro-1h-imidazol-2-amine",1,230.098,2.363,2.0,36.42,2.0,2.0
desflurane (suprane),1,168.036,2.083,0.0,9.23,0.0,2.0
"2-(5,6-dichloroindazol-1-yl)ethanamine",1,230.098,2.302,1.0,43.84,2.0,2.0
propyl acetate ,1,102.133,0.96,0.0,26.3,0.0,2.0
3891-33-6,1,142.198,2.087,0.0,18.46,0.0,7.0
(r)-pentobarbital,1,226.276,1.185,2.0,75.27,1.0,4.0
s111,1,106.071,1.884,0.0,9.23,0.0,2.0
,1,106.071,1.884,0.0,9.23,0.0,2.0
fluorovinyl ether,1,106.071,1.884,0.0,9.23,0.0,2.0
chembl219060,1,325.412,3.542,1.0,54.46,3.0,5.0
mchr antagonist 2',1,394.902,5.036,1.0,45.48,4.0,5.0
declopramide,1,269.776,1.994,2.0,58.36,1.0,6.0
compound-10b,1,474.992,5.444,2.0,68.18,4.0,9.0
cyanidin 3-o-glucoside,1,450.396,-0.195,8.0,189.53,4.0,4.0
cyanidin 3-o-glucoside,1,449.388,0.382,8.0,191.6,4.0,4.0
"2,4-dichlorophenoxyacetic acid",1,221.039,2.457,1.0,46.53,1.0,3.0
lactic acid,1,90.078,-0.548,2.0,57.53,0.0,1.0
"1,2,4-trimethylbenzene",1,120.195,2.612,0.0,0.0,1.0,0.0
st 363,1,230.098,2.364,2.0,36.42,2.0,1.0
7-k08,1,404.864,3.278,0.0,39.68,3.0,6.0
org13011,1,370.419,2.625,0.0,39.68,3.0,6.0
tert-amylmethylether,1,102.177,1.821,0.0,9.23,0.0,2.0
4-chlorobenzotrifluoride,1,180.556,3.359,0.0,0.0,1.0,0.0
chembl243999,1,464.565,6.741,1.0,65.72,5.0,7.0
minozac free base,1,332.411,2.569,0.0,58.04,4.0,3.0
gw406381,1,393.468,3.866,0.0,73.56,4.0,5.0
norgalanthamine,1,273.332,1.508,2.0,50.72,4.0,1.0
repinotan,1,386.473,2.552,1.0,75.71,4.0,6.0
5-butyl-5-ethyl barbituric acid (butethal),1,212.249,0.939,2.0,75.27,1.0,4.0
4-fluoropaclitaxel,1,871.908,3.875,4.0,221.29,7.0,10.0
4-fluoropaclitaxel,1,871.908,3.875,4.0,221.29,7.0,10.0
2-(3'-iodo-4'-aminophenyl)-6-hydroxybenzothiazole,1,368.199,3.856,2.0,59.14,3.0,1.0
ropinirole (skf101468),1,260.381,2.846,1.0,32.34,2.0,7.0
thioridazine,1,370.587,5.886,0.0,6.48,4.0,4.0
methoxyflurane,1,164.966,2.029,0.0,9.23,0.0,2.0
sulforidazine,1,402.585,4.567,0.0,40.62,4.0,4.0
ethylbenzene,1,106.168,2.249,0.0,0.0,1.0,1.0
secobarbital,1,238.287,1.351,2.0,75.27,1.0,5.0
secobarbital,1,238.287,1.351,2.0,75.27,1.0,5.0
sufentanil,1,386.561,4.215,0.0,32.78,3.0,8.0
1-pentanol,1,88.15,1.169,1.0,20.23,0.0,3.0
chembl142158,1,310.825,4.274,1.0,29.26,2.0,4.0
chembl190860,1,276.38,3.621,1.0,29.26,2.0,4.0
schembl4414781,1,390.415,2.629,0.0,90.5,3.0,6.0
schembl10031243,1,273.332,1.676,1.0,41.93,4.0,1.0
"ptk-787, vatalanib",1,346.821,5.013,1.0,50.7,4.0,4.0
(r)-enflurane,1,184.491,2.353,0.0,9.23,0.0,3.0
7440-01-9,1,20.18,0.0,0.0,0.0,0.0,0.0
m-xylene,1,106.168,2.303,0.0,0.0,1.0,0.0
ethyl t-butyl ether,1,102.177,1.821,0.0,9.23,0.0,1.0
talsupram,1,311.494,4.912,1.0,12.03,3.0,5.0
dextromethorphan,1,271.404,3.383,0.0,12.47,4.0,1.0
"b-066, skb-42",1,365.477,4.695,1.0,50.53,4.0,8.0
scopolamine,1,303.358,0.918,1.0,62.3,4.0,4.0
scopolamide (scopolamine),1,303.358,0.918,1.0,62.3,4.0,4.0
scopolamine,1,303.358,0.918,1.0,62.3,4.0,4.0
5d,1,448.441,4.516,1.0,61.72,3.0,8.0
compound 14b,1,427.552,5.231,1.0,54.69,5.0,7.0
pyrene,1,202.256,4.584,0.0,0.0,4.0,0.0
enflurane,1,184.491,2.353,0.0,9.23,0.0,3.0
nicotine,1,162.236,1.848,0.0,16.13,2.0,1.0
5-octyl-5-ethyl barbituric acid,1,268.357,2.499,2.0,75.27,1.0,8.0
"gr 205171, vofopitant",1,432.45,3.273,2.0,76.89,4.0,6.0
10-{2-[(2r)-1-methylpiperidin-2-yl]ethyl}-2-(methylsulfanyl)-10h-phenothiazine,1,370.587,5.886,0.0,6.48,4.0,4.0
chembl368590,1,260.381,2.846,1.0,32.34,2.0,7.0
ropinirole hydrochloride,1,246.358,1.648,1.0,55.04,3.0,2.0
spiperone,1,395.478,3.217,1.0,52.65,4.0,6.0
"(+)-4-propyl- 3,4,4a,5,6,10b-hexahydro- 2h-naphtho[1,2-b][1,4]oxazin-9-ol",1,247.338,2.49,1.0,32.7,3.0,2.0
teflurane,1,180.926,2.239,0.0,0.0,0.0,0.0
1-bromopropane (n- propylbromide),1,122.993,1.791,0.0,0.0,0.0,1.0
nsc 350386,1,324.384,2.704,2.0,89.6,3.0,4.0
ethyl 4-aminobenzoate (benzocaine),1,165.192,1.446,1.0,52.32,1.0,2.0
lin_train_55,1,194.953,2.629,0.0,0.0,0.0,1.0
zinc40135788,1,180.926,2.239,0.0,0.0,0.0,0.0
toliprolol,1,223.316,1.733,2.0,41.49,1.0,6.0
butyl acetate,1,116.16,1.35,0.0,26.3,0.0,3.0
r82913,1,321.877,4.523,1.0,23.96,3.0,2.0
r-82913,1,321.877,4.523,1.0,23.96,3.0,2.0
ondansetron,1,292.382,4.062,0.0,34.36,4.0,2.0
ondansetron,1,293.37,3.129,0.0,39.82,4.0,2.0
loreclezole,1,274.538,3.779,0.0,30.71,2.0,2.0
trichloroethene,1,131.389,2.502,0.0,0.0,0.0,0.0
halothane,1,197.381,2.508,0.0,0.0,0.0,0.0
trichloromethane (chloroform),1,119.378,1.986,0.0,0.0,0.0,0.0
364079-69-6,1,456.538,3.181,1.0,78.01,3.0,6.0
,1,379.503,6.696,1.0,29.1,4.0,5.0
sb-222200,1,380.491,6.091,1.0,41.99,4.0,5.0
66104-22-1,1,314.498,4.271,1.0,19.03,4.0,4.0
pergolide,1,314.498,4.271,1.0,19.03,4.0,4.0
sb222200,1,380.491,6.091,1.0,41.99,4.0,5.0
34933-06-7,1,414.527,3.369,0.0,59.08,3.0,6.0
diltiazem,1,414.527,3.369,0.0,59.08,3.0,6.0
minaprine,1,298.39,2.196,1.0,50.28,3.0,5.0
chembl481689,1,481.04,5.776,1.0,59.39,4.0,9.0
fr260010,1,353.429,4.48,1.0,55.63,5.0,3.0
ritanserin,1,477.58,5.483,0.0,37.61,5.0,5.0
sevoflurane,1,200.053,2.423,0.0,9.23,0.0,2.0
chembl401446,1,361.404,4.421,1.0,65.25,4.0,1.0
riluzole,1,234.202,2.777,1.0,48.14,2.0,1.0
ethylene,1,28.054,0.802,0.0,0.0,0.0,0.0
22316-47-8,1,300.745,3.371,0.0,40.62,3.0,1.0
ar-1d9859,1,275.392,3.075,0.0,21.7,3.0,5.0
357-70-0,1,287.359,1.85,1.0,41.93,4.0,1.0
galanthamine,1,287.359,1.85,1.0,41.93,4.0,1.0
-,1,395.572,4.975,2.0,46.18,4.0,6.0
494-97-3,1,148.209,1.506,1.0,24.92,2.0,1.0
hydrocodone,1,299.37,1.933,0.0,38.77,5.0,1.0
antihistamine-1,1,389.478,4.57,0.0,38.88,5.0,4.0
nitrazepam,1,281.271,2.384,1.0,84.6,3.0,2.0
4-oh-tiq,1,149.193,0.823,2.0,32.26,2.0,0.0
494-97-3,1,148.209,1.506,1.0,24.92,2.0,1.0
4205-93-0,1,319.0,2.583,2.0,36.42,2.0,1.0
jnj-16567083,1,311.425,4.494,0.0,39.19,3.0,4.0
1.1.1.2-tetrachloroethane,1,167.85,2.595,0.0,0.0,0.0,0.0
lidocaine,1,234.343,2.584,1.0,32.34,1.0,5.0
schembl6867748,1,494.479,7.222,1.0,46.33,3.0,4.0
lin_train_45,1,211.408,2.899,0.0,0.0,0.0,1.0
oxymorphone,1,301.342,0.745,2.0,70.0,5.0,0.0
"4-bromo-4-chloro-1,1,1- trifluoro-butane",1,225.435,3.289,0.0,0.0,0.0,2.0
(r)-halothane,1,197.381,2.508,0.0,0.0,0.0,0.0
5-hexyl-5-ethyl barbituric acid,1,240.303,1.719,2.0,75.27,1.0,6.0
nsc 269416,1,384.44,2.875,3.0,114.1,3.0,6.0
tert-butylmethylether,1,88.15,1.431,0.0,9.23,0.0,0.0
161499-49-6,1,379.529,4.402,2.0,46.18,4.0,6.0
chembl1935441,1,307.397,3.054,1.0,39.08,4.0,3.0
compound-4fi,1,414.218,4.991,0.0,46.84,4.0,2.0
compound-s16d,1,405.929,5.002,1.0,48.99,5.0,3.0
chembl515025,1,440.592,3.201,2.0,103.17,4.0,7.0
135095-42-0,1,412.577,5.08,1.0,24.5,6.0,7.0
tetrachloroethylene,1,165.834,3.068,0.0,0.0,0.0,0.0
bunitrolol,1,248.326,1.686,2.0,65.28,1.0,5.0
ml,1,323.396,3.111,3.0,68.62,3.0,5.0
tz-11,1,230.098,2.174,2.0,36.42,2.0,1.0
141060-39-1,1,399.498,3.711,0.0,55.43,5.0,5.0
betaxolol,1,307.434,2.393,2.0,50.72,2.0,11.0
l015600,1,338.451,3.213,2.0,42.52,4.0,5.0
128915-56-0,1,271.747,3.916,1.0,21.26,4.0,0.0
128915-56-0,1,271.747,3.916,1.0,21.26,4.0,0.0
,1,338.451,3.213,2.0,42.52,4.0,5.0
org-30526,1,267.328,2.675,2.0,41.49,4.0,0.0
"b-106, org30526",1,285.774,4.306,1.0,21.26,4.0,0.0
chembl1935437,1,309.388,3.691,1.0,29.85,4.0,3.0
(s)-hydroxyzine,1,374.912,3.056,1.0,35.94,3.0,8.0
methylchloroform,1,133.405,2.377,0.0,0.0,0.0,0.0
desmethylclobazam;          norclobazam; nordiazepam,1,286.718,3.347,1.0,49.41,3.0,1.0
hydroxyzine,1,374.912,3.056,1.0,35.94,3.0,8.0
benzene,1,78.114,1.687,0.0,0.0,1.0,0.0
toluene,1,92.141,1.995,0.0,0.0,1.0,0.0
p-xylene ,1,106.168,2.303,0.0,0.0,1.0,0.0
midazolam,1,325.774,4.324,0.0,30.18,4.0,1.0
elegas,1,146.055,3.169,0.0,0.0,0.0,0.0
xylene,1,106.168,2.303,0.0,0.0,1.0,0.0
isopropyl acetate,1,102.133,0.958,0.0,26.3,0.0,1.0
tibolone,1,298.426,3.493,1.0,37.3,4.0,0.0
tibolone,1,312.453,3.883,1.0,37.3,4.0,0.0
tibolone,1,312.453,3.883,1.0,37.3,4.0,0.0
pentyl acetate,1,130.187,1.74,0.0,26.3,0.0,4.0
ivermectin 1a,1,875.106,5.601,3.0,170.06,7.0,8.0
